N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
188,롯데렌탈,"36,800","1,400",-3.66%,"5,000","13,481","36,634",4.67,"174,079",9.99,12.28,
189,TIGER 2차전지테마,"20,750",380,+1.87%,0,"13,425","64,700",0.99,"2,904,127",N/A,N/A,
190,한일시멘트,"19,350",200,+1.04%,500,"13,402","69,262",3.28,"103,102",20.76,5.89,
191,TIGER 미국필라델피아반도체나스닥,"9,945",430,-4.14%,0,"13,391","134,650",1.42,"3,149,314",N/A,N/A,
192,KODEX 2차전지산업,"19,805",140,+0.71%,0,"13,388","67,600",0.71,"2,024,042",N/A,N/A,
193,PI첨단소재,"45,250",850,+1.91%,500,"13,288","29,366",10.23,"112,982",20.77,21.03,
194,DL,"62,400",100,-0.16%,"5,000","13,076","20,956",11.79,"58,487",1.50,26.52,
195,TIGER MSCI Korea TR,"14,045",185,-1.30%,0,"12,992","92,500",4.76,"7,174",N/A,N/A,
196,한국앤컴퍼니,"13,650",350,-2.50%,500,"12,959","94,935",9.74,"47,109",6.54,5.53,
197,두산,"77,300","1,300",-1.65%,"5,000","12,773","16,524",11.29,"160,080",7.81,11.08,
198,삼성 레버리지 WTI원유 선물 ETN,"2,455",95,-3.73%,0,"12,373","504,000",0.00,"651,535",N/A,N/A,
199,티와이홀딩스,"24,200",50,-0.21%,500,"12,325","50,929",5.81,"25,363",7.49,11.58,
200,TIGER 미국테크TOP10 INDXX,"9,985",440,-4.22%,0,"12,321","123,400",0.46,"1,880,978",N/A,N/A,
