N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
100,현대차2우B,"92,400","1,100",-1.18%,"5,000","33,713","36,485",60.85,"32,500",4.92,N/A,
101,GS건설,"38,950",800,+2.10%,"5,000","33,334","85,581",27.92,"979,066",8.13,9.32,
102,이마트,"116,500","2,500",-2.10%,"5,000","32,475","27,876",28.48,"85,995",2.07,16.25,
103,BGF리테일,"185,000",500,+0.27%,"1,000","31,975","17,284",31.31,"17,437",20.27,19.61,
104,현대미포조선,"78,300",100,-0.13%,"5,000","31,275","39,942",11.44,"150,531",-13.68,-7.11,
105,DB하이텍,"70,200","4,000",-5.39%,"5,000","31,168","44,399",24.02,"818,881",7.30,33.35,
106,KCC,"338,500","3,500",-1.02%,"5,000","30,081","8,886",9.46,"18,350",-53.06,-0.92,
107,제일기획,"25,550",0,0.00%,200,"29,393","115,041",31.55,"137,719",17.77,15.58,
108,호텔신라,"73,700",500,-0.67%,"5,000","28,926","39,248",13.07,"146,550",108.86,4.51,
109,한화시스템,"15,300",300,-1.92%,"5,000","28,905","188,919",3.15,"229,739",30.30,6.04,
110,한솔케미칼,"254,000","12,000",-4.51%,"5,000","28,791","11,335",34.97,"89,006",19.44,23.88,
111,CJ대한통운,"125,000","2,000",+1.63%,"5,000","28,515","22,812",18.58,"23,586",41.35,1.59,
112,포스코인터내셔널,"22,950",50,+0.22%,"5,000","28,315","123,375",7.76,"396,496",6.61,10.86,
113,한전기술,"73,800","1,400",-1.86%,200,"28,206","38,220",1.95,"169,799",214.53,3.25,
114,에스원,"73,100",100,-0.14%,500,"27,777","37,999",53.21,"29,103",21.51,9.13,
115,롯데쇼핑,"97,500",100,-0.10%,"5,000","27,582","28,289",11.11,"28,988",-13.61,-2.94,
116,GS리테일,"25,950",250,-0.95%,"1,000","27,174","104,718",6.79,"93,790",3.22,25.58,
117,현대해상,"30,350",300,-0.98%,500,"27,133","89,400",29.55,"238,992",6.27,8.82,
118,동서,"26,600",200,-0.75%,500,"26,520","99,700",2.97,"20,093",23.27,8.05,
119,대우건설,"6,370",280,+4.60%,"5,000","26,475","415,623",11.15,"2,773,777",5.46,16.47,
120,대한전선,"2,110",95,-4.31%,100,"26,258","1,244,473",1.64,"33,587,862",49.07,7.78,
121,한화에어로스페이스,"51,200",900,-1.73%,"5,000","25,923","50,630",21.36,"142,454",12.83,9.21,
122,BNK금융지주,"7,730",100,+1.31%,"5,000","25,195","325,935",39.49,"594,004",3.19,8.76,
123,OCI,"105,500","2,500",-2.31%,"5,000","25,161","23,849",15.26,"160,389",3.38,23.93,
124,만도,"52,900",500,-0.94%,"1,000","24,840","46,957",19.44,"106,454",14.86,9.31,
125,하이트진로,"35,000",350,-0.99%,"5,000","24,547","70,134",9.58,"197,492",31.28,6.62,
126,키움증권,"92,600",400,+0.43%,"5,000","24,279","26,220",24.58,"42,740",2.82,25.38,
127,신세계,"245,500","2,000",-0.81%,"5,000","24,170","9,845",26.89,"30,712",6.75,8.54,
128,두산퓨얼셀,"36,850",850,-2.25%,100,"24,134","65,494",14.61,"417,774",299.59,1.69,
129,CJ,"81,800",900,-1.09%,"5,000","23,867","29,177",17.42,"17,073",9.55,5.66,
130,후성,"25,650","1,000",-3.75%,500,"23,754","92,607",11.44,"2,891,229",38.75,9.61,
131,KODEX 레버리지,"18,115",520,-2.79%,0,"23,305","128,650",2.21,"15,210,931",N/A,N/A,
132,현대차우,"92,800",400,-0.43%,"5,000","22,603","24,357",57.24,"18,011",4.94,N/A,
133,대우조선해양,"20,900",250,+1.21%,"5,000","22,424","107,291",3.78,"297,871",-1.15,-55.86,
134,녹십자,"188,000",500,+0.27%,"5,000","21,971","11,687",22.65,"16,722",19.13,10.30,
135,SK케미칼,"123,500","3,500",-2.76%,"5,000","21,762","17,621",18.62,"25,555",15.70,11.19,
136,롯데정밀화학,"83,800",500,-0.59%,"5,000","21,620","25,800",20.13,"48,654",3.76,30.43,
137,씨에스윈드,"51,200",0,0.00%,500,"21,592","42,171",10.75,"89,977",31.98,10.13,
138,효성첨단소재,"472,000","6,000",-1.26%,"5,000","21,145","4,480",6.59,"12,562",7.99,54.69,
139,한화생명,"2,425",15,+0.62%,"5,000","21,062","868,530",7.19,"1,213,661",1.77,10.79,
140,한화,"27,350",500,-1.80%,"5,000","20,501","74,959",15.36,"169,776",4.19,20.22,
141,LG화학우,"262,500","1,500",+0.57%,"5,000","20,183","7,689",70.71,"7,227",6.73,N/A,
142,대웅제약,"173,500","5,000",+2.97%,"2,500","20,103","11,587",7.52,"36,934",32.75,4.39,
143,현대로템,"18,350",50,-0.27%,"5,000","20,028","109,142",4.67,"191,711",27.35,5.01,
144,영원무역,"45,000","1,450",-3.12%,500,"19,940","44,311",28.43,"68,104",5.74,14.71,
145,솔루스첨단소재,"64,100","1,700",-2.58%,100,"19,608","30,590",5.44,"102,894",268.20,4.00,
146,TIGER 미국나스닥100,"67,015","1,005",-1.48%,0,"19,334","28,850",0.13,"167,122",N/A,N/A,
147,DL이앤씨,"49,950",500,+1.01%,"5,000","19,327","38,694",20.91,"285,524",4.13,N/A,
148,KODEX 200선물인버스2X,"2,690",75,+2.87%,0,"19,131","711,200",5.62,"124,799,625",N/A,N/A,
149,KODEX 단기채권PLUS,"103,875",5,0.00%,0,"19,071","18,360",0.01,"217,118",N/A,N/A,
150,LS,"59,200",100,-0.17%,"5,000","19,062","32,200",12.81,"49,846",6.86,8.15,
151,휠라홀딩스,"30,300",100,-0.33%,"1,000","18,408","60,752",37.71,"192,227",8.14,16.20,
